key,en_present,zh_present,consumer_scope,owner,sdk_key,compatibility_until
extend.account.activities.buy,true,true,sdk-domain-and-legacy-template,legacy-compat,account.activities.buy,stage-6
extend.account.activities.convert,true,true,sdk-domain-and-legacy-template,legacy-compat,account.activities.convert,stage-6
extend.account.activities.from,true,true,sdk-domain-and-legacy-template,legacy-compat,account.activities.from,stage-6
extend.account.activities.receive,true,true,sdk-domain-and-legacy-template,legacy-compat,account.activities.receive,stage-6
extend.account.activities.sell,true,true,sdk-domain-and-legacy-template,legacy-compat,account.activities.sell,stage-6
extend.account.activity,true,true,sdk-domain-and-legacy-template,legacy-compat,account.activity,stage-6
extend.account.add_cash,true,true,sdk-domain-and-legacy-template,legacy-compat,account.add_cash,stage-6
extend.account.add_cash_failed,true,true,sdk-domain-and-legacy-template,legacy-compat,account.add_cash_failed,stage-6
extend.account.address,true,true,sdk-domain-and-legacy-template,legacy-compat,account.address,stage-6
extend.account.allocation,true,true,sdk-domain-and-legacy-template,legacy-compat,account.allocation,stage-6
extend.account.asset,true,true,sdk-domain-and-legacy-template,legacy-compat,account.asset,stage-6
extend.account.assets.balance,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.balance,stage-6
extend.account.assets.contract,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.contract,stage-6
extend.account.assets.empty_tip,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.empty_tip,stage-6
extend.account.assets.last_24h,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.last_24h,stage-6
extend.account.assets.pnl,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.pnl,stage-6
extend.account.assets.price,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.price,stage-6
extend.account.assets.token,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.token,stage-6
extend.account.assets.unrealized,true,true,sdk-domain-and-legacy-template,legacy-compat,account.assets.unrealized,stage-6
extend.account.balance,true,true,sdk-domain-and-legacy-template,legacy-compat,account.balance,stage-6
extend.account.balance_with_amount,true,true,sdk-domain-and-legacy-template,legacy-compat,account.balance_with_amount,stage-6
extend.account.convert,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert,stage-6
extend.account.convert_amount_half,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_amount_half,stage-6
extend.account.convert_amount_max,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_amount_max,stage-6
extend.account.convert_details,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_details,stage-6
extend.account.convert_dex,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_dex,stage-6
extend.account.convert_errors.amount_error,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_errors.amount_error,stage-6
extend.account.convert_errors.amount_gt_balance,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_errors.amount_gt_balance,stage-6
extend.account.convert_errors.route_error,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_errors.route_error,stage-6
extend.account.convert_errors.route_expired,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_errors.route_expired,stage-6
extend.account.convert_errors.token_not_found,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_errors.token_not_found,stage-6
extend.account.convert_estimated_receive,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_estimated_receive,stage-6
extend.account.convert_fee,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_fee,stage-6
extend.account.convert_from,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_from,stage-6
extend.account.convert_preview,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_preview,stage-6
extend.account.convert_price,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_price,stage-6
extend.account.convert_rate,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_rate,stage-6
extend.account.convert_to,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_to,stage-6
extend.account.convert_transaction_completed,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_transaction_completed,stage-6
extend.account.convert_transaction_error,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_transaction_error,stage-6
extend.account.convert_transaction_submitted,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_transaction_submitted,stage-6
extend.account.convert_transaction_uncompleted,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_transaction_uncompleted,stage-6
extend.account.convert_view_on_explorer,true,true,sdk-domain-and-legacy-template,legacy-compat,account.convert_view_on_explorer,stage-6
extend.account.copied,true,true,sdk-domain-and-legacy-template,legacy-compat,account.copied,stage-6
extend.account.copy_address,true,true,sdk-domain-and-legacy-template,legacy-compat,account.copy_address,stage-6
extend.account.hide_assets,true,true,sdk-domain-and-legacy-template,legacy-compat,account.hide_assets,stage-6
extend.account.nativeTotalBalance,true,true,sdk-domain-and-legacy-template,legacy-compat,account.nativeTotalBalance,stage-6
extend.account.other_tokens,true,true,sdk-domain-and-legacy-template,legacy-compat,account.other_tokens,stage-6
